0x269	0x211	0x24f
0x2eb	0x293	0x2d1
0x3d5	0x37a	0x3be
0x4ab	0x450	0x494
0x5f5	0x59a	0x5de
0x6cb	0x670	0x6b4
0x896	0x83b	0x87f
0x9bb	0x960	0x9a4
0xadd	0xa82	0xac6
