0x168	0x1a5da6c8
0x19b	0x2dfdf0b5
0x1c2	0x3afecb8a
0x302	0x3f4ba83a
0x317	0x439370b1
0x31f	0x4789dcb9
0x3ec	0x5a8143de
0x4c2	0x5c975abb
0x4eb	0x5cc07076
0x53f	0x67a1569b
0x60c	0x75af6456
0x6e2	0x7b103999
0x713	0x8456cb59
0x728	0x85eb3a35
0x76b	0x8f283970
0x79e	0x97feb926
0x7d7	0x993e1c42
0x8ad	0x9a202d47
0x8c2	0xa7616c3b
0x905	0xace77c19
0x9d2	0xb02c43d0
0xa3c	0xc7a823e0
0xaf4	0xd29a4bf6
0xb2d	0xeee3f07a
0xb53	0xf851a440
0x2c54	0x00000000
