0xc8e	0x2256	0xc950x386
0x23e4	0x2e1e	0x23f1
0xde2	0x2466	0xdea
0xdfc	0x24f1	0x4305
0xe4e	0x2466	0xe56
0xe68	0x26cf	0x4327
0xed3	0x2466	0xedb
0x436d	0x2256	0xc950x595
0x10b1	0x2abd	0x10b9
0x10b9	0x193c	0x10e4
0x1768	0x193c	0x188a
0x188a	0x2be3	0x18a3
0x1964	0x1c6e	0x4466
0x4441	0x2a7b	0x441d
0x4466	0x2a22	0x4441
0x44cd	0x2256	0xc950x88e
0x1ba2	0x2cc2	0x44cd
0x1db2	0x2466	0x1dba
0x1e4a	0x2466	0x1e52
0x203f	0x2466	0x2047
0x2059	0x26cf	0x457f
0x464b	0x2256	0x245c
0x243b	0x2cc2	0x464b
0x24fe	0x1c6e	0x46b6
0x4691	0x2a7b	0x250a
0x46b6	0x2a22	0x4691
0x27f3	0x30b9	0x46ff
0x30b9	0x1c6e	0x30c3
0x2eb3	0x2cc2	0x2ef0
0x2fcc	0x2cc2	0x3009
0x494c	0x2a7b	0x320b
0x3204	0x2a22	0x494c
0x5f6	0xfd0	0x3d9c
0x7fc	0x193c	0x3f21
0x914	0x1c6e	0x40b9
0x3077B0x2598	0x2cc2	0x4926B0x2598
0x3077B0x268d	0x2cc2	0x4926B0x268d
0x3077B0x3009	0x2cc2	0x4926B0x3009
0x3077B0x31d0	0x2cc2	0x4926B0x31d0
0x3220B0x29210x91c	0x30b9	0x4971B0x29210x91c
0x3220B0x29210x939	0x30b9	0x4971B0x29210x939
0x3220B0x29210x27fdB0xeed	0x30b9	0x4971B0x29210x27fdB0xeed
0x2d66B0x1c24	0x2e1e	0xc950x2d59B0x1c24
0x19afB0x82a	0x2be3	0x448bB0x82a
0x19fdB0x832	0x2466	0x1a05B0x832
0x1a23B0x832	0x24f1	0x44acB0x832
0x1f52B0xa00	0x2abd	0x1f5aB0xa00
0x1f5aB0xa00	0xfd0	0x1f64B0xa00
0x20efB0xb12	0x2466	0x20f7B0xb12
0x3220B0x29210x20a9B0xb12	0x30b9	0x4971B0x29210x20a9B0xb12
