0x703	0x8b0
0x8bd	0x8bd
0x914	0x999
0xa9a	0xa9a
0xbab	0xbab
0xd9b	0xd9b
0xe64	0xe64
0xf5e	0xfa1
0xfa8	0xfa8
0x106e	0x106e
0x10c5	0x1116
0x111f	0x111f
0x1410	0x1410
0x145e	0x145e
0x14ac	0x14ed
0x1598	0x1598
0x1826	0x1a9f
0x1cd1	0x1cde
0x1d7a	0x1db8
0x1e51	0x1e51
0x21d6	0x21e0
0x21ea	0x23fc
0x2404	0x2458
0x2507	0x25b4
0x2645	0x2763
0x27b7	0x2818
0xc02	0x2f7e
0xeb2	0x2fd0
0xf5e	0x301e
0x126b	0x3068
0x1353	0x308a
0x14ac	0x30fb
0x1573	0x3121
0x16fd	0x316e
0x1c7b	0x3197
0x1c7b	0x31bb
0x1cbe	0x31df
0x1d64	0x3204
0x24e5	0x3251
0x24fb	0x3276
0x276c	0x3299
0x276c	0x32be
0x276c	0x32e3
0x27b7	0x3309
0x281f	0x332c
0x281f	0x3350
0x28b4	0x3374
0x28b4	0x3399
0x9dd	0xa590x9dd
0xde9	0xa590xde9
0x1634	0x16bb0x1634
0x245f	0x16bb0x245f
0x1ee4	0x20240x1ee4
0x2041	0x20240x2041
