0x99f	0x2027	0	Regular
0x1172B0x4f1	0x2bfd	0	Regular
0x1172B0x4f1	0x2bfd	1	Regular
0x1647B0x6bb	0x2bfd	0	Regular
0x1647B0x6bb	0x2bfd	1	Regular
