0xfba
0xffd
0x1461
0x21bd
0x2201
0x227b
0x3198
0x3239
0x379f
0x37c1
0x3810
0x3997
0x3a00
0x3a42
0x3a7f
0x3b01
0x3b2f
0x3b73
0x3ba1
0x3be3
0x3c37
0x3c88
0x3cb7
0x3cf7
0x3d36
0x3d54
0x3d7f
0x3dac
0x3dd9
0x3e06
0x3e33
0x3e51
0x3e7d
0x3e9b
0x3ec8
0x3ef5
0x3f13
0x3f40
0x3f6f
0x3f8d
0x3fdb
0x400b
0x49dd
0x4a09
0x4a3a
0x4af3
0x4b2a
0x4b5b
0x4bb5
0x4be9
0x4ced
0x4d1b
0x4d62
