0x4c8	0x597
0x726	0x8ff
0x941	0x9ef
0xa5d	0xa5d
0xa61	0xa86
0xaca	0xaef
0xb33	0xb33
0xc22	0xc96
0xce8	0xce8
0xe14	0xe14
0xe8e	0xeb9
0xf75	0xf86
0xf8d	0xfbc
0xfe8	0x1079
0x1117	0x118e
0x11a6	0x11a6
0x1273	0x1273
0x12e8	0x12e8
0x13ef	0x1419
0x905	0x1851
0x924	0x1877
0x9fa	0x189d
0xa61	0x190e
0xaca	0x1931
0xbcc	0x199e
0xbd8	0x19c4
0xbed	0x19ea
0xbf8	0x1a0f
0xc0d	0x1a35
0xc22	0x1a83
0xd04	0x1acd
0xd04	0x1af2
0xd4e	0x1b17
0xd4e	0x1b3c
0xe5c	0x1b61
0xe73	0x1b86
0xb39	0xbc90xb39
0xc22	0xbc90xc22
0x43e	0x17930x43e
0x478	0x17930x478
0x486	0x17de0x486
0xa11	0x17de0xa11
0xb39	0x197c0xb39
0xc22	0x197c0xc22
