0xc3	0xbf8255a
0x14a	0x583db645
0x1ca	0x5aa6e675
0x1ee	0x601e2fe3
0x22c	0x8119c065
0x234	0xa8bc48bf
0x2b4	0xab033ea9
0x2da	0xacb3c073
0x300	0xbdeae404
0x338	0xc4d66de8
0x1c13	0x00000000
