0x1e36	0x1c13
0x1e2d	0x2da
0x1e30	0x300
0x1e33	0x338
0x1e27	0x234
0x1e2a	0x2b4
0x1e1e	0x1ca
0x1e21	0x1ee
0x1e24	0x22c
0x1e18	0xc3
0x1e1b	0x14a
