0xb2e	0xdee
0x1b07	0x1cbb
0x2088	0x2188
0x21df	0x222d
0x29dd	0x2a07
0x2a0f	0x2a31
0x2c72	0x2d5b
0x2d63	0x2e0b
0x2e24	0x3124
0x33b7	0x35f3
0x3885	0x3a59
0x3af6	0x3d20
0x40be	0x41a8
0x4299	0x4299
0x42b0	0x42b0
0x4387	0x43fc
0x4407	0x4457
0x44a8	0x4552
0x460d	0x466b
0x46de	0x479d
0x4870	0x48b9
0x48c4	0x48d5
0x48dc	0x48ed
0x499a	0x49ac
0x49bb	0x49cd
0x49de	0x49f2
0x4a32	0x4a4a
0x4a5e	0x4a70
0x4a7a	0x4a7a
0x4a8e	0x4a8e
0x4aa7	0x4aa7
0x4ac1	0x4ac1
0x4b6e	0x4b6e
0x4c0f	0x4c9e
0x4cab	0x4ce3
0x4cef	0x4cef
0x4daa	0x4daa
0x4e32	0x4e32
0x4e81	0x4e81
0x4eab	0x4eab
0x5035	0x5035
0x505a	0x505a
0x5086	0x5086
0x50ec	0x50ec
0x52af	0x52af
0x5303	0x5303
0x5379	0x53a4
0x5409	0x5409
0x549c	0x54bb
0x54c3	0x54ed
0x1083	0x5e57
0x116e	0x5ea1
0x1256	0x5ef0
0x1482	0x5f8e
0x1482	0x5fb3
0x1705	0x6028
0x1705	0x604a
0x1cc7	0x61a9
0x1cc7	0x61ce
0x2246	0x630b
0x22e5	0x6380
0x29a3	0x6531
0x29a3	0x6556
0x2a37	0x65f4
0x2ac4	0x6640
0x2bb2	0x66b6
0x3136	0x67a9
0x315b	0x67f7
0x3885	0x68b1
0x3a67	0x68ff
0x3a67	0x6928
0x3daa	0x69c8
0x3e29	0x69ee
0x421b	0x6a8c
0x42da	0x6aaf
0x42ef	0x6ad2
0x42fa	0x6af7
0x4344	0x6b1d
0x4470	0x6b43
0x448c	0x6b69
0x4563	0x6b8f
0x4677	0x6bbb
0x47ac	0x6be7
0x47c8	0x6c0d
0x48f4	0x6c33
0x4923	0x6c5d
0x54f3	0x6c87
0x5508	0x6ca9
0x5516	0x6ccb
0x11da	0x5ec50x11da
0x1993	0x5ec50x1993
0x2339	0x5ec50x2339
0x3d29	0x69a10x3d29
0x3f10	0x69a10x3f10
