0xbef	0xc17
0x1b56	0x1ddf
0x2047	0x205d
0x20b0	0x215a
0x26f3	0x27a0
0x27a8	0x27a8
0x288f	0x2a58
0xf4f	0x3d82
0x1b56	0x409c
0x1b56	0x412e
0x1b56	0x419b
0x1e54	0x41e1
0x4202	0x4202
0x2047	0x4296
0x4454	0x4454
0x25ba	0x4477
0x266c	0x450b
0x26f3	0x452e
0x2845	0x4552
0x288f	0x45c2
0x288f	0x4654
0x2a82	0x46e7
0x2c4a	0x470d
0x1064	0x113f0x1064
0x17c0	0x197c0x17c0
0x1982	0x1a650x1982
0xd67	0x3d150xd67
0x156e	0x3ee50x156e
0x156e	0x3f530x156e
0x156e	0x3f770x156e
0x1982	0x3fe70x1982
0x1a73	0x400a0x1a73
0x1a73	0x402e0x1a73
0x1a73	0x40520x1a73
0x1fe6	0x42700x1fe6
0x206e	0x42b90x206e
0x2162	0x43750x2162
0x2162	0x442d0x2162
0x25d1	0x449a0x25d1
0x25d1	0x44bf0x25d1
0x262a	0x44e50x262a
