0x27ea0x5b0	0xe31	0x5b00x27cd
0x27ea0x60b	0x60b0x24a4	0x60b0x2c08
0x27ea0x720	0x7200x24a4	0x7200x2c08
0x27ea0x943	0x9430x24a4	0x9430x2c08
0x27ea0x960	0x9600x1691	0x9600x2c08
0x27ea0x156e	0x156e0x1691	0x156e0x2c08
0x27ea0x1b56	0x1ca5	0x1b560x27cd
0x27ea0x206e	0x2078	0x206e0x27cd
0x27ea0x2162	0x21620x24a4	0x21620x2c08
0x27ea0x262a	0x2634	0x262a0x2c08
