0x131	0x5f63c8a
0x16a	0x21eceff7
0x19a	0x59355736
0x1d2	0x5f805e74
0x1f8	0x608fa3c1
0x246	0x638c7e17
0x24e	0x645200f0
0x27a	0x64a7ce99
0x282	0x6aa9004c
0x52b	0x715018a6
0x533	0x8326686d
0x571	0x8da5cb5b
0x579	0x8f32d59b
0x595	0xa2e62045
0x59d	0xcc5b6a2f
0x5db	0xd681b17e
0x601	0xe7a1c1c0
0x62d	0xec39caaf
0x635	0xf2fde38b
0x65b	0xf4954387
0x1df5	0x00000000
