0xe5	0x00000000
0xea	0xf43a677
0x111	0x2bda4eee
0x152	0x392e53cd
0x17b	0x40a141ff
0x19e	0x4d238c8e
0x1bf	0x52af719f
0x1ef	0x5890ef79
0x254	0x7d2b9cc0
0x26c	0x8d068043
0x281	0x8d37052c
0x2be	0x8da5cb5b
0x2d3	0x8e4ec60a
0x2f4	0x9a454b99
0x309	0xc794c769
0x31e	0xf2fde38b
0x33f	0xfacd743b
