0x12fd	admin()
0x13aa	_acceptImplementation()
0x1da3	borrowBalanceStored(address)
0x263e	isCToken()
0x2847	balanceOf(address)
0x291a	transfer(address,uint256)
0x2cac	getUnderlyingPrice(address)
0x2d2b	getUnderlyingPrice(address)
0x2db4	exchangeRateStored()
0x2f54	comptroller()
0x2fc4	comptroller()
0x31dc	getUnderlyingPrice(address)
0x326d	totalBorrows()
0x34a5	getUnderlyingPrice(address)
0x3656	balanceOf(address)
0x3729	transfer(address,uint256)
0x3852	getAccountSnapshot(address)
0x3da8	getAccountSnapshot(address)
0x3e98	getUnderlyingPrice(address)
0x42e60xae8	balanceOf(address)
0x42e60x4085	balanceOf(address)
0x46faS0x4047	mint(address,uint256)
0x48c7S0x4047	totalSupply()
0x42e60x1fa9S0x3ba9S0x10bb	balanceOf(address)
