0xcf	0x00000000
0xd4	0x77f22b7
0xef	0x3eaaf86b
0xf8	0x430bf08a
0x123	0x456ee286
0x153	0x51cfd6fe
0x15d	0x609350cd
0x17d	0x6691cb3d
0x185	0x7a46a9c5
0x18d	0x7d0d66ff
0x195	0x95ef84b9
0x1b5	0xe5c4fffe
0x1e5	0xe696393a
0x1ee	0xeec037f6
