0xc8e	0x2256	0xc950x386
0x23e4	0x2e25	0x23f1
0xde2	0x2466	0xdea
0xdfc	0x24f1	0x430c
0xe4e	0x2466	0xe56
0xe68	0x26cf	0x432e
0xed3	0x2466	0xedb
0x4374	0x2256	0xc950x595
0x10b1	0x2ac4	0x10b9
0x10b9	0x193c	0x10e4
0x1768	0x193c	0x188a
0x188a	0x2bea	0x18a3
0x1964	0x1c6e	0x446d
0x4448	0x2a82	0x4424
0x446d	0x2a29	0x4448
0x44d4	0x2256	0xc950x88e
0x1ba2	0x2cc9	0x44d4
0x1db2	0x2466	0x1dba
0x1e4a	0x2466	0x1e52
0x203f	0x2466	0x2047
0x2059	0x26cf	0x4586
0x4652	0x2256	0x245c
0x243b	0x2cc9	0x4652
0x24fe	0x1c6e	0x46bd
0x4698	0x2a82	0x250a
0x46bd	0x2a29	0x4698
0x27fa	0x30c0	0x4706
0x30c0	0x1c6e	0x30ca
0x2eba	0x2cc9	0x2ef7
0x2fd3	0x2cc9	0x3010
0x4953	0x2a82	0x3212
0x320b	0x2a29	0x4953
0x5f6	0xfd0	0x3da3
0x7fc	0x193c	0x3f28
0x914	0x1c6e	0x40c0
0x307eB0x2598	0x2cc9	0x492dB0x2598
0x307eB0x268d	0x2cc9	0x492dB0x268d
0x307eB0x3010	0x2cc9	0x492dB0x3010
0x307eB0x31d7	0x2cc9	0x492dB0x31d7
0x3227B0x29280x91c	0x30c0	0x4978B0x29280x91c
0x3227B0x29280x939	0x30c0	0x4978B0x29280x939
0x3227B0x29280x2804B0xeed	0x30c0	0x4978B0x29280x2804B0xeed
0x2d6dB0x1c24	0x2e25	0xc950x2d60B0x1c24
0x19afB0x82a	0x2bea	0x4492B0x82a
0x19fdB0x832	0x2466	0x1a05B0x832
0x1a23B0x832	0x24f1	0x44b3B0x832
0x1f52B0xa00	0x2ac4	0x1f5aB0xa00
0x1f5aB0xa00	0xfd0	0x1f64B0xa00
0x20efB0xb12	0x2466	0x20f7B0xb12
0x3227B0x29280x20a9B0xb12	0x30c0	0x4978B0x29280x20a9B0xb12
