0xa3	0x572b0cc
0xad	0x3c99aff8
0xe7	0x55f21eb7
0x15d	0x9a48b7ba
0x1b5	0xa1883692
0x20f	0xa694fc3a
0x23d	0xa69df4b5
0x247	0xcd4134d0
0x251	0xd4f50f98
0x338	0xe4e31795
0x26ad	0x00000000
