0x1fc
0x220
0x23a
0x261
0x29b
0x2c2
0x4d2
0x52a
0x597
0x956
0x971
0x982
0x997
0x9b4
0xacc
0xaed
0xaf6
0xafe
0xd50
0x1030
0x1055
0x1073
0x107b
0x1083
0x108b
0x1094
0x10bd
0x1278
0x1282
0x12bc
0x133b
0x1344
0x1415
0x144d
0x1455
0x145d
0x1465
0x146e
0x1505
0x1511
0x162a
0x181f
0x1992
0x1a8c
0x1bbf
0x1bc8
0x1c0f
0x1d2d
0x1d36
0x1d56
0x1db4
0x1dbc
0x1dc4
0x1dcc
0x1dd5
0x1dfe
0x1e55
0x1fed
0x201f
0x208d
0x2150
0x2158
0x2160
0x2168
0x2260
0x2449
0x2529
0x25ae
0x25ca
0x2710
0x2851
0x2a2f
0x2b7d
0x2c74
0x2c8c
0x2d31
0x2e40
0x2f1b
0x2f70
0x2f9b
0x2fb8
0x32c3
0x32fe
0x3490
0x349c
0x36ff
0x3818
0x382c
