0x1c8	0xfdd58e
0x1ee	0x1ffc9a7
0x211	0x6fdde03
0x226	0x71e9503
0x23b	0x89b1367
0x24e	0xe89341c
0x261	0x2eb2c2d6
0x274	0x4e1273f4
0x294	0x4f558e79
0x2b6	0x5b8bbc24
0x2bf	0x5d4b60aa
0x2d2	0x626bc15b
0x2e5	0x70ae92d2
0x305	0x8129fc1c
0x30d	0x8797b196
0x320	0x8da5cb5b
0x34b	0xa1f0406d
0x373	0xa22cb465
0x386	0xa41b41d2
0x399	0xad1e8b37
0x3ac	0xb314782c
0x3bf	0xb88c1afb
0x3d2	0xbb03bfdd
0x3e5	0xbd85b039
0x405	0xbe71abe1
0x418	0xe985e9c5
0x454	0xf242432a
0x467	0xf2fde38b
0x4077	0x00000000
