0xd7e
0x12c8
0x1585
0x1f55
0x1f67
0x27b9
0x2f53
0x316b
0x32c8
0x3987
0x39c6
0x3a93
0x3e1a
0x3e3c
0x3e4c
0x3e5c
0x3e6c
0x3efc
0x3f2f
0x3f42
0x3f5c
0x3f79
