0x2ef5	0x3bf6	0x2efd
0x32b2	0x2689	0x4d2b
0x22f	0x8e6	0x430d
0x29b	0xd7e	0x4380
0x2fd	0xe19	0x43d4
0x31e	0xe9a	0x4405
0x3d1	0x12c8	0x44f0
0x40a	0x1327	0x4554
0x472	0x13cc	0x4585
0x4d2	0x1569	0x45fa
0x1569	0x8e6	0x157a
0x517	0x1711	0x464c
0x5d7	0x1b99	0x4714
0x661	0x1c44	0x4778
0x748	0x22e9	0x4899
0x7a5	0x23ce	0x490c
0xda2	0x23ce	0xdb0
0x49f3	0x1c44	0x49c8
0xf70	0x8e6	0xf79
0x12e0	0x1327	0x12ee
0x12db	0x22e9	0x4a62
0x157a	0x23ce	0x1585
0x4af9	0x1c44	0x1593
0x15f2	0xe19	0x15fb
0x248f	0x2ec4	0x4bcf
0x2f3e	0xd7e	0x2f48
0x2efd	0x3d07	0x2f08
0x2f65	0x3f9d	0x2f6f
0x2f5f	0x32c8	0x2f65
0x32c8	0x1c44	0x4d57
0x316b	0xe9a	0x4cd4
0x4cb0	0x33b3	0x317c
0x3288	0x3445	0x3296
0x3296	0x3533	0x32a0
0x32a0	0x35b5	0x32aa
0xdb8	0x23ce	0xdc2
0xdcc	0x8e6	0xdd5
0xde0	0x1b99	0xde9
0x12f6	0x1327	0x1300
0x130a	0xe19	0x1313
0x1c2c	0x2ec4	0x1c39
0x7baB0x1e5	0x244f	0x493dB0x1e5
0xf2dB0x33f	0x1b99	0xf39B0x33f
0x1d24B0x685	0x244f	0x4b43B0x685
0xf2dB0xf5c	0x1b99	0xf39B0xf5c
0xf2dB0x15de	0x1b99	0xf39B0x15de
0xf2dB0x2ee2	0x1b99	0xf39B0x2ee2
0x80cB0x20b	0x1327	0x815B0x20b
0xf2dB0x7e5B0x20b	0x1b99	0xf39B0x7e5B0x20b
0xd72B0x27a	0x2711	0x49a6B0x27a
0x11e1B0x384	0x2711	0x11eaB0x384
0x11f3B0x384	0x285c	0x1221B0x384
0x1221B0x384	0x2afc	0x124aB0x384
0x124aB0x384	0x2cab	0x1253B0x384
0x1253B0x384	0x2d0c	0x125cB0x384
0x1f11B0x6d9	0xe9a	0x1f1eB0x6d9
0x1f2cB0x6d9	0x1569	0x1f3aB0x6d9
0x1f61B0x6d9	0x32c8	0x1f67B0x6d9
0x4b67B0x6d9	0x33b3	0x1f80B0x6d9
0x20f6B0x6d9	0x3445	0x2104B0x6d9
0x2104B0x6d9	0x3533	0x210eB0x6d9
0x210eB0x6d9	0x35b5	0x2118B0x6d9
0xf2dB0x1e72B0x6d9	0x1b99	0xf39B0x1e72B0x6d9
0x215bB0x700	0x1b99	0x2164B0x700
0x216dB0x700	0x23ce	0x2176B0x700
0xf2dB0x213fB0x700	0x1b99	0xf39B0x213fB0x700
0x223fB0x724	0x23ce	0x2248B0x724
0x2252B0x724	0x8e6	0x225bB0x724
0xf2dB0x2220B0x724	0x1b99	0xf39B0x2220B0x724
0x23a0B0x76c	0x2d0c	0x4b8bB0x76c
0x23c5B0x78d	0x2cab	0x4badB0x78d
0x3efcB0x2f31	0x23ce	0x5028B0x2f31
0x3e3cB0x2f31	0x8e6	0x4f53B0x2f31
0x3e4cB0x2f31	0x23ce	0x4f7eB0x2f31
0x3e5cB0x2f31	0xe19	0x4fa9B0x2f31
0x3e6cB0x2f31	0x1327	0x4fd4B0x2f31
0x3eb4B0x2f31	0x285c	0x3ed9B0x2f31
0x3ed9B0x2f31	0x2afc	0x3ef7B0x2f31
0x3f5cB0x2f31	0x1327	0x50d2B0x2f31
0x3f2fB0x2f31	0x8e6	0x5053B0x2f31
0x5028B0x2f31	0x4129	0x3f2fB0x2f31
0x3f42B0x2f31	0x1b99	0x507eB0x2f31
0x5053B0x2f31	0x4129	0x3f42B0x2f31
0x3f55B0x2f31	0x285c	0x3f5cB0x2f31
0x507eB0x2f31	0x4129	0x3f55B0x2f31
0x3f79B0x2f31	0xe19	0x50fdB0x2f31
0x50d2B0x2f31	0x4129	0x3f79B0x2f31
0x3f8cB0x2f31	0x2afc	0x50a9B0x2f31
0x50fdB0x2f31	0x4129	0x3f8cB0x2f31
0x3e1aB0x2f31	0x1b99	0x4f28B0x2f31
0x9b4B0x262	0x25ba	0x9bdB0x262
0x9bdB0x262	0x1711	0x9c8B0x262
0xd0bB0x262	0x2689	0x4983B0x262
0x251fB0x262	0x13cc	0x2528B0x262
0x2532B0x262	0x25ba	0x253bB0x262
0x3987B0x255cB0x262	0xe9a	0x4deeB0x255cB0x262
0x39a4B0x255cB0x262	0x4009	0x4e19B0x255cB0x262
0x4dcaB0x255cB0x262	0x33b3	0x39a4B0x255cB0x262
0xf2dB0xdf5B0x2d3	0x1b99	0xf39B0xdf5B0x2d3
0x27a9B0xe09B0x2d3	0x12c8	0x27b3B0xe09B0x2d3
0x3a77B0xe09B0x2d3	0x4009	0x3a93B0xe09B0x2d3
0x3a93B0xe09B0x2d3	0xe9a	0x4e8cB0xe09B0x2d3
0x4e68B0xe09B0x2d3	0x33b3	0x3aa4B0xe09B0x2d3
0x39c6B0x27c4B0xe09B0x2d3	0x22e9	0x4e3dB0x27c4B0xe09B0x2d3
0xf2dB0x1524B0x48a	0x1b99	0xf39B0x1524B0x48a
0x3bd2B0x2e69B0x153aB0x48a	0x4009	0x3bf0B0x2e69B0x153aB0x48a
