0x2ef5	0x3bf6
0x32b2	0x2689
0x22f	0x8e6
0x29b	0xd7e
0x2fd	0xe19
0x31e	0xe9a
0x3d1	0x12c8
0x40a	0x1327
0x472	0x13cc
0x4d2	0x1569
0x1569	0x8e6
0x517	0x1711
0x5d7	0x1b99
0x661	0x1c44
0x748	0x22e9
0x7a5	0x23ce
0xda2	0x23ce
0x49f3	0x1c44
0xf70	0x8e6
0x12e0	0x1327
0x12db	0x22e9
0x157a	0x23ce
0x4af9	0x1c44
0x15f2	0xe19
0x248f	0x2ec4
0x2f3e	0xd7e
0x2efd	0x3d07
0x2f65	0x3f9d
0x2f5f	0x32c8
0x32c8	0x1c44
0x316b	0xe9a
0x4cb0	0x33b3
0x3288	0x3445
0x3296	0x3533
0x32a0	0x35b5
0x5314	0x4283
0x5238	0x1d9
0x523b	0x1ff
0x523e	0x223
0x5241	0x256
0x5244	0x26e
0x5247	0x28f
0x524a	0x2c7
0x524d	0x2f1
0x5250	0x312
0x5253	0x333
0x5256	0x354
0x5259	0x378
0x525c	0x3b0
0x525f	0x3c5
0x5262	0x3e9
0x5265	0x3fe
0x5268	0x41f
0x526b	0x466
0x526e	0x47e
0x5271	0x4a5
0x5274	0x4c6
0x5277	0x4e7
0x527a	0x50b
0x527d	0x52c
0x5280	0x55d
0x5283	0x572
0x5286	0x58a
0x5289	0x5cb
0x528c	0x5ec
0x528f	0x655
0x5292	0x679
0x5295	0x6a3
0x5298	0x6b8
0x529b	0x6cd
0x529e	0x6f4
0x52a1	0x718
0x52a4	0x73c
0x52a7	0x760
0x52aa	0x781
0x52ad	0x799
0xdb8	0x23ce
0xdcc	0x8e6
0xde0	0x1b99
0x12f6	0x1327
0x130a	0xe19
0x1c2c	0x2ec4
0x7baB0x1e5	0x244f
0xf2dB0x33f	0x1b99
0x1d24B0x685	0x244f
0xf2dB0xf5c	0x1b99
0xf2dB0x15de	0x1b99
0xf2dB0x2ee2	0x1b99
0x80cB0x20b	0x1327
0xf2dB0x7e5B0x20b	0x1b99
0xd72B0x27a	0x2711
0x11e1B0x384	0x2711
0x11f3B0x384	0x285c
0x1221B0x384	0x2afc
0x124aB0x384	0x2cab
0x1253B0x384	0x2d0c
0x1f11B0x6d9	0xe9a
0x1f2cB0x6d9	0x1569
0x1f61B0x6d9	0x32c8
0x4b67B0x6d9	0x33b3
0x20f6B0x6d9	0x3445
0x2104B0x6d9	0x3533
0x210eB0x6d9	0x35b5
0xf2dB0x1e72B0x6d9	0x1b99
0x215bB0x700	0x1b99
0x216dB0x700	0x23ce
0xf2dB0x213fB0x700	0x1b99
0x223fB0x724	0x23ce
0x2252B0x724	0x8e6
0xf2dB0x2220B0x724	0x1b99
0x23a0B0x76c	0x2d0c
0x23c5B0x78d	0x2cab
0x3efcB0x2f31	0x23ce
0x3e3cB0x2f31	0x8e6
0x3e4cB0x2f31	0x23ce
0x3e5cB0x2f31	0xe19
0x3e6cB0x2f31	0x1327
0x3eb4B0x2f31	0x285c
0x3ed9B0x2f31	0x2afc
0x3f5cB0x2f31	0x1327
0x3f2fB0x2f31	0x8e6
0x5028B0x2f31	0x4129
0x3f42B0x2f31	0x1b99
0x5053B0x2f31	0x4129
0x3f55B0x2f31	0x285c
0x507eB0x2f31	0x4129
0x3f79B0x2f31	0xe19
0x50d2B0x2f31	0x4129
0x3f8cB0x2f31	0x2afc
0x50fdB0x2f31	0x4129
0x3e1aB0x2f31	0x1b99
0x9b4B0x262	0x25ba
0x9bdB0x262	0x1711
0xd0bB0x262	0x2689
0x251fB0x262	0x13cc
0x2532B0x262	0x25ba
0x3987B0x255cB0x262	0xe9a
0x39a4B0x255cB0x262	0x4009
0x4dcaB0x255cB0x262	0x33b3
0xf2dB0xdf5B0x2d3	0x1b99
0x27a9B0xe09B0x2d3	0x12c8
0x3a77B0xe09B0x2d3	0x4009
0x3a93B0xe09B0x2d3	0xe9a
0x4e68B0xe09B0x2d3	0x33b3
0x39c6B0x27c4B0xe09B0x2d3	0x22e9
0xf2dB0x1524B0x48a	0x1b99
0x3bd2B0x2e69B0x153aB0x48a	0x4009
