0x26e	0x2dcdef2
0x29d	0x6fdde03
0x31a	0x95ea7b3
0x35a	0xfc63d10
0x37e	0x18160ddd
0x386	0x23b872dd
0x3bc	0x3018205f
0x3c4	0x313ce567
0x3e2	0x34e7a19f
0x401	0x39509351
0x42d	0x3dedb2ac
0x463	0x47786d37
0x480	0x4d91d7d9
0x5c6	0x4f81c3d3
0x5e3	0x52705c01
0x600	0x54956f86
0x61d	0x554d578d
0x625	0x5f64b55b
0x62d	0x63b5f015
0x650	0x70a08231
0x676	0x830df852
0x67e	0x883464ff
0x686	0x90da6358
0x6a3	0x92eefe9b
0x6c9	0x95d89b41
0x6d1	0xa457c2d7
0x6fd	0xa8aa1b31
0x705	0xa9059cbb
0x731	0xad5c4648
0x739	0xbe1d24ad
0x756	0xbe357616
0x773	0xc0938b34
0x77b	0xc4b21cb0
0x783	0xc4f82cf2
0x7a6	0xc54e44eb
0x7ae	0xc9628010
0x7b6	0xd4c3eea0
0x7be	0xd5743ff8
0x7c6	0xd96661ef
0x7ce	0xdd62ed3e
0x7fc	0xe8b5e51f
0x804	0xf1018dc1
0x80c	0xf9b45bfe
0x4601	0x00000000
