0xe4d	getTokenIdsLength()
0xf95	getOwnedToken(address,uint256)
0x1385	getTokenIdByIndex(uint256)
0x163e	createRegion(address[16],address,uint256,uint256,uint256,uint256)
0x1831	ownerOf(address[16],uint256)
0x1953	balanceOf(address[16],address)
0x2558	getOwnedArea(address)
0x1278S0x494	deleteRegion(address[16],uint256)
0x241dS0x9f8	setNextImagePart(address[16],uint256,uint16,uint16,uint16,uint256[])
0x26acS0xacf	checkImageInput(address[16],uint256,uint256,uint256[],bool,bool)
0x29d5S0xb8b	setupRegion(address[16],uint256,uint256,uint256[],bool,uint8[128])
0x1b4aS0x6f1	updateRegionPixelPrice(address[16],uint256,uint256)
0x2188S0x891	updateRegion(address[16],uint256,uint256,uint256[],bool,bool,uint8[128],bool,address)
0x27c4S0xb46	purchase(address[16],uint256)
