0x3d8cS0x2657S0x2721S0x3af	0x2728V0x3af	0x3ba1V0x2636V0x2721V0x3af
0x3d8cS0x2657S0x2721S0x4ba	0x2728V0x4ba	0x3ba1V0x2636V0x2721V0x4ba
0x1710S0x687	0x2e08V0x672	0x16f6V0x687
0x3d8cS0x3084S0x1730S0x687	0x2e08V0x672	0x3a16V0x1730V0x687
