0xe36	0xbeb
0xe24	0x154
0xe27	0x15c
0xe2a	0x1cc
0xe2d	0x1f2
0xe30	0x1fa
0xe33	0x202
0xe15	0xae
0xe18	0xdd
0xe1b	0x101
0xe1e	0x126
0xe21	0x12e
