0x98	0xc340a24
0xbc	0x228cb733
0xc4	0x34c6f197
0xec	0x81c0c263
0xf4	0x9f788e7b
0x122	0xb6aa515b
0x148	0xcddf2c6e
0x174	0xda3e3397
0x1aa	0xdf69e016
0x8fe	0x00000000
