0x187	0x894	0x18c
0xc17	0x1bcc	0xcb8
0x844B0x143	0x1da0	0x84cB0x143
0x84cB0x143	0x1f36	0x857B0x143
0x857B0x143	0x20cc	0x862B0x143
0x862B0x143	0x2262	0x86dB0x143
0x86dB0x143	0x23f8	0x878B0x143
0x1026B0x19a	0x1da0	0x1047B0x19a
0x1047B0x19a	0x1f36	0x1055B0x19a
0x1055B0x19a	0x20cc	0x1063B0x19a
0x1063B0x19a	0x2262	0x1071B0x19a
0x1071B0x19a	0x23f8	0x107fB0x19a
0x695B0xff	0x1bcc	0x6a3B0xff
0x844B0x6a3B0xff	0x1da0	0x84cB0x6a3B0xff
0x84cB0x6a3B0xff	0x1f36	0x857B0x6a3B0xff
0x857B0x6a3B0xff	0x20cc	0x862B0x6a3B0xff
0x862B0x6a3B0xff	0x2262	0x86dB0x6a3B0xff
0x86dB0x6a3B0xff	0x23f8	0x878B0x6a3B0xff
0x17a6B0x285	0x1bcc	0x17b4B0x285
