0x0	0x0
0xd	0xd
0x76	0x76
0xa7	0xa7
0xe3	0xe3
0x114	0x114
0x166	0x166
0x197	0x197
0x1d3	0x1d3
0x204	0x204
0x261	0x261
0x292	0x292
0x2ce	0x2ce
0x2ff	0x2ff
0x351	0x351
0x382	0x382
0x3be	0x3be
0x3fb	0x3fb
0x427	0x427
0x457	0x457
0x479	0x479
0x4b1	0x4b1
0x4d3	0x4d3
0x50a	0x50a
0x51f	0x51f
0x53f	0x53f
0x57c	0x57c
0x5bd	0x5bd
0x5dd	0x5dd
0x5fd	0x5fd
0x638	0x638
0x658	0x658
0x68c	0x68c
0x6ac	0x6ac
0x6cc	0x6cc
0x6e1	0x6e1
0x701	0x701
0x716	0x716
0x736	0x736
0x756	0x756
0x776	0x776
0x796	0x796
0x7b2	0x7b2
0x7d2	0x7d2
0x7f2	0x7f2
0x813	0x813
0x833	0x833
0x84b	0x84b
0x86b	0x86b
0x8b1	0x8b1
0x8f1	0x8f1
0x93e	0x93e
0x95e	0x95e
0x97e	0x97e
0x993	0x993
0x9c8	0x9c8
0x9dd	0x9dd
0x9f2	0x9f2
0xa07	0xa07
0xa25	0xa25
0xa45	0xa45
0xa7c	0xa7c
0xa91	0xa91
0xab1	0xab1
0xaf0	0xaf0
0xb10	0xb10
0xb47	0xb47
0xb6f	0xb6f
0xb84	0xb84
0xba4	0xba4
0xbc5	0xbc5
0xbe5	0xbe5
0xc05	0xc05
0xc4b	0xc4b
0xc93	0xc93
0xcdc	0xcdc
0xcfc	0xcfc
0xd1c	0xd1c
0xe38	0xe38
0xedd	0xedd
0xf4f	0xf4f
0x10b1	0x10b1
0x112d	0x112d
0x1168	0x1168
0x119c	0x119c
0x11d0	0x11d0
0x129d	0x129d
0x12bb	0x12bb
0x12d9	0x12d9
0x1310	0x1310
0x136e	0x136e
0x13fd	0x13fd
0x147b	0x147b
0x152a	0x152a
0x1572	0x1572
0x15a5	0x15a5
0x1625	0x1625
0x168d	0x168d
0x16b9	0x16b9
0x16ed	0x16ed
0x1744	0x1744
0x1796	0x1796
0x180b	0x180b
0x182a	0x182a
0x185d	0x185d
0x18ab	0x18ab
0x1925	0x1925
0x1947	0x1947
0x1995	0x1995
0x1a37	0x1a37
0x1a73	0x1a73
0x1abb	0x1abb
0x1af9	0x1af9
0x1baf	0x1baf
0x1c35	0x1c35
0x1cc4	0x1cc4
0x1d61	0x1d61
0x1e9a	0x1e9a
0x1f57	0x1f57
0x1fbc	0x1fbc
0x2025	0x2025
0x233d	0x233d
0x236a	0x236a
0x238f	0x238f
0x23ea	0x23ea
0x24a3	0x24a3
0x252c	0x252c
0x254c	0x254c
0x2596	0x2596
0x25dd	0x25dd
0x260b	0x260b
0x263b	0x263b
0x2666	0x2666
0x26f2	0x26f2
0x2722	0x2722
0x2798	0x2798
0x27c2	0x27c2
0x2926	0x2926
0x2946	0x2946
0x2978	0x2978
0x299d	0x299d
0x2a73	0x2a73
0x2a93	0x2a93
0x2add	0x2add
0x2af6	0x2af6
0x2b2d	0x2b2d
0x2bf4	0x2bf4
0x2c2b	0x2c2b
0x2c81	0x2c81
0x2cbe	0x2cbe
0x2cec	0x2cec
0x2d1c	0x2d1c
0x2d84	0x2d84
0x2dcc	0x2dcc
0x2ea7	0x2ea7
0x2efb	0x2efb
0x2f7a	0x2f7a
0x2f85	0x2f85
0x2ff0	0x2ff0
0x3099	0x3099
0x30c6	0x30c6
0x30e7	0x30e7
0x311b	0x311b
0x3143	0x3143
0x318d	0x318d
0x3202	0x3202
0x3254	0x3254
0x3273	0x3273
0x3298	0x3298
0x32f3	0x32f3
0x3373	0x3373
0x3395	0x3395
0x3412	0x3412
0x349f	0x349f
0x351f	0x351f
0x359a	0x359a
0x3606	0x3606
0x368c	0x368c
0x3842	0x3842
0x386f	0x386f
0x3890	0x3890
0x38cd	0x38cd
0x394b	0x394b
0x3968	0x3968
0x3995	0x3995
0x39dc	0x39dc
0x3a9c	0x3a9c
0x3ae1	0x3ae1
0x3b06	0x3b06
0x3bd3	0x3bd3
0x3bf9	0x3bf9
0x3d18	0x3d18
0x3e10	0x3e10
0x3e78	0x3e78
0x3faa	0x3faa
0x4030	0x4030
0x40ec	0x40ec
0x41d6	0x41d6
0x4293	0x4293
0x43e2	0x43e2
0x44a5	0x44a5
0x45cb	0x45cb
0x46fe	0x46fe
