0x303B0x0	0x312B0x0
0x31eB0x0	0x337B0x0
0x33aB0x0	0x34aB0x0
0x34dB0x0	0x358B0x0
0x359B0x0	0x376B0x0
0x377B0x0	0x38bB0x0
0x2d2B0x315B0x0	0x2e5B0x315B0x0
0x4e4B0x38eB0x0	0x4e7B0x38eB0x0
0x4ffB0x38eB0x0	0x508B0x38eB0x0
0x4e7B0x38eB0x0	0x4f0B0x38eB0x0
0x46B0x22	0x4bB0x22
0x6bB0x22	0xa3B0x22
0xeeB0x22	0xf3B0x22
0xa7B0x22	0xb2B0x22
0x10aB0x22	0x124B0x22
0x15e0x33B0x22	0x1630x33B0x22
0x172B0x124B0x22	0x1a6B0x124B0x22
0x1aaB0x124B0x22	0x1b5B0x124B0x22
0x15eB0x33B0x22	0x1630x15eB0x33B0x22
0x2e9B0xbbB0x22	0x2f7B0xbbB0x22
0x2d2B0x2faB0xbbB0x22	0x2e5B0x2faB0xbbB0x22
0x2e9B0x1beB0x124B0x22	0x2f7B0x1beB0x124B0x22
0x2d2B0x2faB0x1beB0x124B0x22	0x2e5B0x2faB0x1beB0x124B0x22
0x1f2B0x12eB0x22	0x1f7B0x12eB0x22
0x229B0x12eB0x22	0x243B0x12eB0x22
0x264B0x12eB0x22	0x269B0x12eB0x22
0x15eB0x1e7B0x12eB0x22	0x1630x15eB0x1e7B0x12eB0x22
0x4e4B0x3adB0x12eB0x22	0x4e7B0x3adB0x12eB0x22
0x4ffB0x3adB0x12eB0x22	0x508B0x3adB0x12eB0x22
0x4e7B0x3adB0x12eB0x22	0x4f0B0x3adB0x12eB0x22
0x299B0x269B0x12eB0x22	0x2a2B0x269B0x12eB0x22
0x2a8B0x269B0x12eB0x22	0x2b0B0x269B0x12eB0x22
0x4e4B0x3c9B0x269B0x12eB0x22	0x4e7B0x3c9B0x269B0x12eB0x22
0x4ffB0x3c9B0x269B0x12eB0x22	0x508B0x3c9B0x269B0x12eB0x22
0x4e7B0x3c9B0x269B0x12eB0x22	0x4f0B0x3c9B0x269B0x12eB0x22
0x1570x4e4B0x38eB0x0	0x1590x4e4B0x38eB0x0
0x1570x33B0x22	0x1590x33B0x22
0x27aB0x12eB0x22	0x27fB0x12eB0x22
0x1570x4e4B0x3adB0x12eB0x22	0x1590x4e4B0x3adB0x12eB0x22
0x1570x4e4B0x3c9B0x269B0x12eB0x22	0x1590x4e4B0x3c9B0x269B0x12eB0x22
