0xad4	0xbcb
0x10a6	0x10bc
0x11b1	0x1314
0x131b	0x131b
0x137b	0x14d0
0x19f9	0x19f9
0x1076	0x21ad
0x21ce	0x21ce
0x10a6	0x21ef
0x1321	0x2284
0x61c	0x72f0x61c
0xa13	0x72f0xa13
0xe7c	0x72f0xe7c
0x104d	0x72f0x104d
0x10cd	0x93f0x10cd
0xd8b	0xe6e0xd8b
0xa13	0x1f850xa13
0xd8b	0x20f70xd8b
0x104d	0x21890x104d
0x10cd	0x22120x10cd
0x112d	0x22380x112d
0x116f	0x225e0x116f
