0x8c4	token()
0xb2b	balanceOf(address)
0xb9c	totalSupply()
0xd4e	totalSupply()
0xf31	quotas(address)
0x1261	transfer(address,uint256)
0x6f70x2a3	quotas(address)
0x6730x2a3	balanceOf(address)
0x1433S0xc34	transferFrom(address,address,uint256)
0x6730x61cS0xd75	balanceOf(address)
0x6f70x61cS0xd75	quotas(address)
