0x40	[0x40, nil]
0x0	[0x0, nil]
0x4	[0x4, nil]
0xf	[0xf, nil]
0x2	[0x2, nil]
0x5	[0x5, nil]
0x7	[0x7, nil]
0x8	[0x8, nil]
0xc	[0xc, nil]
0x12	[0x12, nil]
0x14	[0x14, nil]
0x17	[0x17, nil]
0x3b	[0x3b, nil]
0x3d	[0x3d, nil]
0x42	[0x42, nil]
0x45	[0x45, nil]
0x47	[0x47, nil]
0x48	[0x48, nil]
0x4a	[0x4a, nil]
0x4b	[0x4b, nil]
0x4c	[0x4c, nil]
0x6d	[0x6d, nil]
0x6f	[0x6f, nil]
0x70	[0x70, nil]
0x72	[0x72, nil]
0x73	[0x73, nil]
0x74	[0x74, nil]
0x75	[0x75, nil]
0x76	[0x76, nil]
0x77	[0x77, nil]
0x7d	[0x7d, nil]
0x7f	[0x7f, nil]
0x82	[0x82, nil]
0xa6	[0xa6, nil]
0xa8	[0xa8, nil]
0xab	[0xab, nil]
0xad	[0xad, nil]
0xb0	[0xb0, nil]
0xb2	[0xb2, nil]
0xb3	[0xb3, nil]
0xb5	[0xb5, nil]
0xb6	[0xb6, nil]
0xb7	[0xb7, nil]
0xd8	[0xd8, nil]
0xda	[0xda, nil]
0xdb	[0xdb, nil]
0xdd	[0xdd, nil]
0xde	[0xde, nil]
0xdf	[0xdf, nil]
0xe0	[0xe0, nil]
0xe1	[0xe1, nil]
0xe2	[0xe2, nil]
0xe8	[0xe8, nil]
0xeb	[0xeb, nil]
0xec	[0xec, nil]
0xef	[0xef, nil]
0xf5	[0xf5, nil]
0xf6	[0xf6, nil]
0xfd	[0xfd, nil]
0x100	[0x100, nil]
0x105	[0x105, nil]
0x107	[0x107, nil]
0x128	[0x128, nil]
0x12a	[0x12a, nil]
0x134	[0x134, nil]
0x138	[0x138, nil]
0x13b	[0x13b, nil]
0x13e	[0x13e, nil]
0xfe	[0xfe, nil]
0x103	[0x103, nil]
0x132	[0x132, nil]
0xb	[0xb, nil]
0x7a	[0x7a, nil]
0xe5	[0xe5, nil]
0x140	[0x140, nil]
0x13d	[0x13d, nil]
0x39	[0x39, nil]
0xa4	[0xa4, nil]
0x12f	[0x12f, nil]
0x7b	[0x7b, nil]
0xe6	[0xe6, nil]
