0x119	0x7b3cec5
0x13b	0x900f010
0x15b	0x2bd83e52
0x17b	0x34d4ef77
0x19b	0x3e601134
0x1bb	0x4585e33b
0x1db	0x5cd8d064
0x211	0x6e04ff0d
0x23f	0x75829def
0x25f	0x78400f17
0x27f	0x92f04a39
0x294	0xa0ef91df
0x2a9	0xa619486e
0x2be	0xacb5fedf
0x2d3	0xbcaef756
0x2f6	0xc6fb1853
0x316	0xd9a5b4d8
0x336	0xf851a440
0x13d3	0x00000000
