0xdbc	0x15de
0x9e3	0x14a0
0xa17	0x14e9
0xa52	0x14a0
0xdc7	0x14a0
0x1180	0x14a0
0x125e	0x14e9
0x1275	0x14a0
0x1feb	0x1928
0x1fc6	0x665
0x1fc9	0x691
0x1fcc	0x6b7
0x1fcf	0x6e5
0x1fbd	0x4f8
0x1fc0	0x631
0x1fc3	0x639
0x1fab	0x473
0x1fae	0x496
0x1fb1	0x49e
0x1fb4	0x4c4
0x1fb7	0x4e8
0x1fba	0x4f0
0x1f99	0x3d4
0x1f9c	0x3f3
0x1f9f	0x411
0x1fa2	0x43d
0x1fa5	0x445
0x1fa8	0x46b
0x1f87	0x178
0x1f8a	0x1f5
0x1f8d	0x235
0x1f90	0x365
0x1f93	0x37f
0x1f96	0x39e
