0xf41	0xf58
0x149a	0x149a
0x15de	0x15ff
0x14a0	0x1e4a
0x14e9	0x1e70
0x14e9	0x1e95
0x1542	0x1ebb
0x15de	0x1f07
0x17a7	0x1f2c
0x70b	0x79f0x70b
0x10b1	0x79f0x10b1
0x1825	0x79f0x1825
0x824	0x8fa0x824
0x132a	0x14180x132a
0x824	0x1db60x824
0xe25	0x1ee10xe25
0x159c	0x1ee10x159c
