0x0	__function_selector__
0x178	name()
0x1f5	approve(address,uint256)
0x235	initialize(string,string,uint8)
0x365	totalSupply()
0x37f	setRebasePaused(bool)
0x39e	transferFrom(address,address,uint256)
0x3d4	setTokenPaused(bool)
0x3f3	decimals()
0x411	increaseAllowance(address,uint256)
0x43d	rebasePaused()
0x445	balanceOf(address)
0x46b	renounceOwnership()
0x473	rebase(uint256,int256)
0x496	tokenPaused()
0x49e	setMonetaryPolicy(address)
0x4c4	owner()
0x4e8	monetaryPolicy()
0x4f0	isOwner()
0x4f8	initialize(address,string,string)
0x631	symbol()
0x639	decreaseAllowance(address,uint256)
0x665	transfer(address,uint256)
0x691	initialize(address)
0x6b7	allowance(address,address)
0x6e5	transferOwnership(address)
0x70b	0x70b
0x824	0x824
0xe25	0xe25
0xf41	0xf41
0x10b1	0x10b1
0x132a	0x132a
0x149a	0x149a
0x14a0	0x14a0
0x14e9	0x14e9
0x1542	0x1542
0x159c	0x159c
0x15de	0x15de
0x17a7	0x17a7
0x1825	0x1825
0x1928	()
0x1928	fallback()
