0x8d	0x366653a9
0xe7	0x3a98ef39
0x105	0x4e8086aa
0x164	0x64aef16d
0x1a8	0x7fbbe46f
0x2f4	0x8e2691dd
0x328	0xce7c2ac2
0x380	0xf2f4eb26
0x14e2	0x00000000
