0x38d4	0x39ac
0x3a1b	0x3bdd
0x3c8f	0x3c8f
0x4006	0x41a5
0x4470	0x4519
0x4521	0x45ab
0x45af	0x4616
0x46f9	0x47b3
0x483e	0x4a33
0x4c11	0x4c41
0xd75	0x5d2b
0xd75	0x5d52
0x2824	0x5dcd
0x2824	0x5df4
0x3421	0x5ebf
0x3421	0x5ee6
0x3c46	0x5f39
0x3cd6	0x5f5f
0x3d20	0x5fa7
0x3f1d	0x5fcd
0x3f79	0x6015
0x4621	0x6039
0x4621	0x605d
0x4a3b	0x6081
0x4c11	0x60cf
0x4d54	0x6119
0xd75	0xe190xd75
0x2824	0xe190x2824
0x3421	0xe190x3421
0x4221	0x43570x4221
0x4363	0x43570x4363
0x4c4a	0x60f60x4c4a
0x4cc8	0x60f60x4cc8
