0x4d3	0x140a	0x4d8
0xde4	0x1818	0xe07
0xe07	0x1818	0xe4c
0xbfaB0x323	0x19ee	0xc1dB0x323
0xf41B0x480	0x1818	0xf4fB0x480
0xf72B0x480	0x1818	0xf81B0x480
0x1014B0x480	0x1818	0x1037B0x480
0x10ff0xed2B0x480	0x1b03	0x11210xed2B0x480
0x11210xed2B0x480	0x19ee	0x11270xed2B0x480
0x681B0x241	0x1818	0x68fB0x241
0x902B0x241	0x1818	0x90dB0x241
0x915B0x241	0x1818	0x923B0x241
0x10ff0x117cB0x493	0x1b03	0x11210x117cB0x493
0x11210x117cB0x493	0x19ee	0x11270x117cB0x493
