0x1a6cS0x378	proxiableUUID()
0x10ee0xed2S0x480	fundLog(address,string,address)
0x19afS0x818S0x241	liquidateHoldings(address)
0x11eeS0x493	isSelfManager(address)
0x10ee0x117cS0x493	fundLog(address,string,address)
