0x0	__function_selector__
0x235	finalizeNewManager()
0x24c	initialized()
0x277	nyanVoting()
0x299	rewardsContract()
0x2ae	nextVotingPeriod()
0x2d0	getAllCandidates()
0x2f3	topCandidate()
0x308	checkFundManagerAllowance(address,uint256)
0x328	managers(uint256)
0x348	devFund()
0x35d	updateCode(address)
0x37d	canBeginVoting()
0x392	topCandidateVotes()
0x3a7	proxiableUUID()
0x3bc	setManagerLimit(uint32)
0x3dc	adjustFundManagerAllowance(address,uint256,uint256)
0x3fc	votingBuffer()
0x411	registry()
0x426	managerLimit()
0x448	getManagerLimit()
0x45d	owner()
0x472	replaceManager(address,uint256)
0x485	registerCandidate(string)
0x498	initConstructor(uint32,uint256,uint256)
0x4b8	managerCandidates(address)
0x4e7	contractManager()
0x4fc	beginVoting()
0x511	fundContract()
0x526	relinquishOwnership()
0x53b	initialAllowance()
0x550	setContracts(address,address)
0x570	selfManager()
0x585	isFundManager(address)
0x5a5	managerStruct(address)
0x5d9	manualCheckIn()
0x5ee	isSelfManager()
0x603	connectorContract()
0x618	allCandidates(uint256)
0x638	0x638
0x96b	0x96b
0xb83	0xb83
0xc91	0xc91
0xed2	0xed2
0x117c	0x117c
0x13a6	0x13a6
0x140a	0x140a
0x1818	0x1818
0x1900	0x1900
0x19ee	0x19ee
0x1b03	0x1b03
0x1bb7	0x1bb7
0x1c1c	0x1c1c
0x1c96	0x1c96
0x1cb5	0x1cb5
0x1cca	0x1cca
0x1ce1	0x1ce1
0x1cfc	0x1cfc
0x1d30	0x1d30
0x1d8d	0x1d8d
0x1dc5	0x1dc5
0x1e60	0x1e60
0x1e78	0x1e78
0x1ebb	0x1ebb
0x1f06	0x1f06
0x1f09	0x1f09
0x1fa0	0x1fa0
0x204f	0x204f
0x2058	0x2058
0x2117	0x2117
0x2185	0x2185
0x2200	0x2200
0x2252	0x2252
0x22ed	0x22ed
0x2e2b	()
0x2e2b	fallback()
