[0x00000000, nil]
[0xaa5d27e9, nil]
[0x2a2fab22, nil]
[0x6d5d6eb1, nil]
[0x357359c, nil]
[0xdd62ed3e, nil]
[0x598362f0, nil]
[0xa1c25151, nil]
[0xab06346c, nil]
[0xcd6ef2b0, nil]
[0x1d3ce398, nil]
[0x2f91a724, nil]
[0x44e3fa3c, nil]
[0x6fb3e89c, nil]
[0x905e8914, nil]
[0x4de5a73, nil]
[0x13888565, nil]
[0xe5555b8f, nil]
[0x674a64e0, nil]
[0xa3f5c1d2, nil]
[0xaf290bd4, nil]
[0xd5bcb9b5, nil]
[0x213c501a, nil]
[0x313ce567, nil]
[0x458f5815, nil]
[0x70a08231, nil]
[0x95d89b41, nil]
[0x6fdde03, nil]
[0x18160ddd, nil]
[0xedc832b3, nil]
[0x6bef4a8c, nil]
[0xa457c2d7, nil]
[0xbdfbe29c, nil]
[0xd7d52266, nil]
[0x23b872dd, nil]
[0x39509351, nil]
[0x54cf2aeb, nil]
[0x72ea9076, nil]
[0x969642b9, nil]
[0x95ea7b3, nil]
[0x1820783d, nil]
[0xf74bfe8e, nil]
[0x6c36581c, nil]
[0xa9059cbb, nil]
[0xc3f909d4, nil]
[0x26bbe60a, nil]
[0x3e37bcbc, nil]
[0x78aa987e, nil]
[0xb78f9c0, nil]
[0xc4db7fa0, nil]
[0x43bcfab6, nil]
[0x7e8901ea, nil]
[0x119849cf, nil]
[0xcd6ef2b0, [0x673, nil]]
[0x598362f0, [0x4df, nil]]
[0x674a64e0, [0x350, nil]]
[0x13888565, [0x350, nil]]
[0xa3f5c1d2, [0x5c2, nil]]
[0x458f5815, [0x350, nil]]
[0xedc832b3, [0x673, nil]]
[0x313ce567, [0x458, nil]]
[0x213c501a, [0x3fb, nil]]
[0x18160ddd, [0x350, nil]]
[0xd7d52266, [0x5c2, nil]]
[0x54cf2aeb, [0x350, nil]]
[0x6c36581c, [0x458, nil]]
[0x1d3ce398, [0x3e5, nil]]
[0x6d5d6eb1, [0x3fb, nil]]
[0x357359c, [0x324, nil]]
[0x1d3ce398, [0x5234, [0x3e5, nil]]]
[0x1d3ce398, [0x5251, [0x3e5, nil]]]
[0x357359c, [0x4f91, [0x324, nil]]]
[0x2f91a724, [0x458, nil]]
[0x1d3ce398, [0x4eef, [0x5234, [0x3e5, nil]]]]
[0x1d3ce398, [0x4def, [0x5251, [0x3e5, nil]]]]
[0x70a08231, [0x350, nil]]
[0xdd62ed3e, [0x350, nil]]
[0x95d89b41, [0x365, nil]]
[0x6fdde03, [0x365, nil]]
[0x3e37bcbc, [0x493, nil]]
[0x95ea7b3, [0x385, nil]]
[0xc3f909d4, [0x656, nil]]
[0x2a2fab22, [0x437, nil]]
[0x3e37bcbc, [0x5c54, [0x493, nil]]]
[0xc3f909d4, [0x5ca1, [0x656, nil]]]
