0x60	0x5c	0
0x4	0x0	1
0x4	0x2	0
0x7	0x5	0
0x16	0x13	0
0x1b	0x16	0
0x1b	0x17	1
0x25	0x13	0
0x28	0x17	1
0x28	0x25	0
0x30	0x16	0
0x45	0x25	0
0x51	0x25	0
0x51	0x4e	1
0x64S0x11	0x3a	0
0x78S0x11	0x74V0x11	1
0x78S0x11	0x76V0x11	0
0x7cS0x11	0x7aV0x11	0
0x7cS0x11	0x13e_0x1V0x61V0x11	1
0x80S0x11	0x7cV0x11	0
0x80S0x11	0x7dV0x11	1
0x82S0x11	0x78V0x11	0
0x82S0x11	0x80V0x11	1
0x97S0x11	0x30	1
0x97S0x11	0x95V0x11	0
0xde_0x1S0x11	0x78V0x11	-1
0xde_0x1S0x11	0xd7V0x11	-1
0xb1S0x11	0x30	0
0xb1S0x11	0x30	1
0xb4S0x11	0xb1V0x11	1
0xb4S0x11	0xb2V0x11	0
0xb8S0x11	0x30	0
0xc4S0x11	0xc1_0x2V0x11	1
0xc4S0x11	0xc0V0x11	0
0xc5S0x11	0xc4V0x11	0
0xc1_0x2S0x11	0x1b	-1
0xc1_0x2S0x11	0xd2V0x11	-1
0x9eS0x11	0x1b	0
0xa1S0x11	0x9fV0x11	0
0xa2S0x11	0x9eV0x11	1
0xa2S0x11	0xa1V0x11	0
0xa5S0x11	0x30	0
0xa5S0x11	0x30	1
0xa6S0x11	0xa2V0x11	1
0xa6S0x11	0xa5V0x11	0
0xc0S0x11	0x1b	0
0xc0S0x11	0x30	1
0xccS0x11	0xcb_0x2V0x11	0
0xd2S0x11	0xd0V0x11	0
0xd2S0x11	0xcb_0x2V0x11	1
0xd7S0x11	0xd5V0x11	0
0xd7S0x11	0xcb_0x1V0x11	1
0xcb_0x1S0x11	0x78V0x11	-1
0xcb_0x1S0x11	0xd7V0x11	-1
0xcb_0x2S0x11	0x1b	-1
0xcb_0x2S0x11	0xd2V0x11	-1
0x119S0x61S0x11	0x116V0x61V0x11	1
0x119S0x61S0x11	0x10bV0x61V0x11	0
0x130S0x61S0x11	0x129V0x61V0x11	1
0x130S0x61S0x11	0x12eV0x61V0x11	0
0x10bS0x61S0x11	0x64V0x11	0
0x10bS0x61S0x11	0x108V0x61V0x11	1
0x10fS0x61S0x11	0x64V0x11	0
0x10fS0x61S0x11	0x10cV0x61V0x11	1
0x120S0x61S0x11	0x11dV0x61V0x11	1
0x120S0x61S0x11	0x11c_0x1V0x61V0x11	0
0x122S0x61S0x11	0x10fV0x61V0x11	0
0x122S0x61S0x11	0x120V0x61V0x11	1
0x123S0x61S0x11	0x122V0x61V0x11	0
0x11c_0x1S0x61S0x11	0x119V0x61V0x11	-1
0x11c_0x1S0x61S0x11	0x10bV0x61V0x11	-1
0x13e_0x1S0x61S0x11	0x119V0x61V0x11	-1
0x13e_0x1S0x61S0x11	0x10bV0x61V0x11	-1
0x101S0xdeS0x11	0xffV0xdeV0x11	0
0x101S0xdeS0x11	0xfb_0x0V0xdeV0x11	1
0xfb_0x0S0xdeS0x11	0xde_0x1V0x11	-1
0xfb_0x0S0xdeS0x11	0x101V0xdeV0x11	-1
0xf4S0xdeS0x11	0x82V0x11	0
0xf4S0xdeS0x11	0xf1_0x0V0xdeV0x11	1
0xf5S0xdeS0x11	0xf4V0xdeV0x11	0
0xf1_0x0S0xdeS0x11	0xde_0x1V0x11	-1
0xf1_0x0S0xdeS0x11	0x101V0xdeV0x11	-1
0x64S0x42	0x4b	0
0x78S0x42	0x74V0x42	1
0x78S0x42	0x76V0x42	0
0x7cS0x42	0x7aV0x42	0
0x7cS0x42	0x13e_0x1V0x61V0x42	1
0x80S0x42	0x7cV0x42	0
0x80S0x42	0x7dV0x42	1
0x82S0x42	0x78V0x42	0
0x82S0x42	0x80V0x42	1
0x97S0x42	0x45	1
0x97S0x42	0x95V0x42	0
0xde_0x1S0x42	0x78V0x42	-1
0xde_0x1S0x42	0xd7V0x42	-1
0xb1S0x42	0x45	0
0xb1S0x42	0x45	1
0xb4S0x42	0xb1V0x42	1
0xb4S0x42	0xb2V0x42	0
0xb8S0x42	0x45	0
0xc4S0x42	0xc1_0x2V0x42	1
0xc4S0x42	0xc0V0x42	0
0xc5S0x42	0xc4V0x42	0
0xc1_0x2S0x42	0x51	-1
0xc1_0x2S0x42	0xd2V0x42	-1
0x9eS0x42	0x51	0
0xa1S0x42	0x9fV0x42	0
0xa2S0x42	0x9eV0x42	1
0xa2S0x42	0xa1V0x42	0
0xa5S0x42	0x45	0
0xa5S0x42	0x45	1
0xa6S0x42	0xa2V0x42	1
0xa6S0x42	0xa5V0x42	0
0xc0S0x42	0x45	1
0xc0S0x42	0x51	0
0xccS0x42	0xcb_0x2V0x42	0
0xd2S0x42	0xd0V0x42	0
0xd2S0x42	0xcb_0x2V0x42	1
0xd7S0x42	0xd5V0x42	0
0xd7S0x42	0xcb_0x1V0x42	1
0xcb_0x1S0x42	0x78V0x42	-1
0xcb_0x1S0x42	0xd7V0x42	-1
0xcb_0x2S0x42	0x51	-1
0xcb_0x2S0x42	0xd2V0x42	-1
0x119S0x61S0x42	0x116V0x61V0x42	1
0x119S0x61S0x42	0x10bV0x61V0x42	0
0x130S0x61S0x42	0x129V0x61V0x42	1
0x130S0x61S0x42	0x12eV0x61V0x42	0
0x10bS0x61S0x42	0x64V0x42	0
0x10bS0x61S0x42	0x108V0x61V0x42	1
0x10fS0x61S0x42	0x64V0x42	0
0x10fS0x61S0x42	0x10cV0x61V0x42	1
0x120S0x61S0x42	0x11dV0x61V0x42	1
0x120S0x61S0x42	0x11c_0x1V0x61V0x42	0
0x122S0x61S0x42	0x10fV0x61V0x42	0
0x122S0x61S0x42	0x120V0x61V0x42	1
0x123S0x61S0x42	0x122V0x61V0x42	0
0x11c_0x1S0x61S0x42	0x119V0x61V0x42	-1
0x11c_0x1S0x61S0x42	0x10bV0x61V0x42	-1
0x13e_0x1S0x61S0x42	0x119V0x61V0x42	-1
0x13e_0x1S0x61S0x42	0x10bV0x61V0x42	-1
0x101S0xdeS0x42	0xffV0xdeV0x42	0
0x101S0xdeS0x42	0xfb_0x0V0xdeV0x42	1
0xfb_0x0S0xdeS0x42	0xde_0x1V0x42	-1
0xfb_0x0S0xdeS0x42	0x101V0xdeV0x42	-1
0xf4S0xdeS0x42	0x82V0x42	0
0xf4S0xdeS0x42	0xf1_0x0V0xdeV0x42	1
0xf5S0xdeS0x42	0xf4V0xdeV0x42	0
0xf1_0x0S0xdeS0x42	0xde_0x1V0x42	-1
0xf1_0x0S0xdeS0x42	0x101V0xdeV0x42	-1
0x41	0x3d	0
0x57	0x53	0
0xc	0x7	1
0xc	0x8	0
0x152	0x145	1
0x152	0x150	0
0x10	0xd	0
0x10	0xd	1
0x14f	0x145	2
0x14f	0x149	1
0x14f	0x14d	0
0x1e	0x13	0
0x1e	0x1b	1
0x23	0x1f	1
0x23	0x16	0
0x2b	0x13	0
0x2b	0x28	1
0x2e	0x1f	1
0x2e	0x25	0
0x92S0x11	0x8eV0x11	0
0x8dS0x11	0x3a	0
0x8dS0x11	0x8aV0x11	1
0x6eS0x11	0x6aV0x11	0
0x89S0x11	0x30	1
0x89S0x11	0x85V0x11	0
0x73S0x11	0x3a	1
0x73S0x11	0x71V0x11	0
0x9cS0x11	0x97V0x11	1
0x9cS0x11	0x98V0x11	0
0xebS0x11	0xe7V0x11	0
0xbdS0x11	0xb8V0x11	1
0xbdS0x11	0xb9V0x11	0
0xb6S0x11	0x3a	0
0xb6S0x11	0xb4V0x11	1
0xcaS0x11	0xc5V0x11	1
0xcaS0x11	0xc6V0x11	0
0x1041S0x11	0x35	0
