0x8d	0x366653a9
0xc7	0x3a98ef39
0xe1	0x4e8086aa
0x139	0x64aef16d
0x161	0x7fbbe46f
0x288	0x8e2691dd
0x2ac	0xce7c2ac2
0x2d2	0xf2f4eb26
0xe8e	0x00000000
