0x1e3	0x00000000
0x218	0x6fdde03
0x243	0x95ea7b3
0x270	0x1624f6c6
0x290	0x18160ddd
0x2b2	0x1838d85c
0x2c7	0x23b872dd
0x2e7	0x313ce567
0x309	0x39509351
0x329	0x3986de6a
0x349	0x3f4ba83a
0x35e	0x42966c68
0x37e	0x476343ee
0x393	0x5a18664c
0x3a8	0x5c975abb
0x3bd	0x629c577e
0x3e1	0x70a08231
0x401	0x715018a6
0x416	0x8456cb59
0x42b	0x8da5cb5b
0x44d	0x8f32d59b
0x462	0x95d89b41
0x477	0x9f3e8b34
0x497	0x9fd0506d
0x4ac	0xa0712d68
0x4bf	0xa457c2d7
0x4df	0xa9059cbb
0x4ff	0xc4d66de8
0x51f	0xdd62ed3e
0x53f	0xe7654b3c
0x55f	0xf0070333
0x57f	0xf09ddae7
0x594	0xf2fde38b
