0x2668B0x26fc	0xa82V0x29e	0x2709
0x26abB0x2cd	0xf26V0x2c5	0x2699V0x2cd
0x2668B0x270f	0xacaV0x29e	0x2684_0x6V0x26fc
0x2668B0x26e9B0x454	0x1d72V0x44f	0x26f6V0x454
