0x675	0xe53
0x8de	0x9ef
0x1041	0x9ef
0x1116	0xe53
0x2563	0x1db0
0x2554	0x5b8
0x2557	0x5fb
0x255a	0x621
0x255d	0x629
0x2560	0x64f
0x2548	0x4ba
0x254b	0x4e0
0x254e	0x541
0x2551	0x592
0x253c	0x45e
0x253f	0x484
0x2542	0x48c
0x2545	0x4b2
0x2530	0x3f6
0x2533	0x3fe
0x2536	0x41b
0x2539	0x438
0x2524	0x3b0
0x2527	0x3b8
0x252a	0x3c0
0x252d	0x3ee
0x2518	0x336
0x251b	0x35c
0x251e	0x382
0x2521	0x38a
0x250c	0x2cf
0x250f	0x2d7
0x2512	0x2df
0x2515	0x2fc
0x2500	0x200
0x2503	0x228
0x2506	0x270
0x2509	0x2a9
0xc9e0x3c0	0x1791
0xc9e0xc11B0x85f	0x1791
