0x491	0xeb0
0x14b1	0xf1
0x14b4	0xf6
0x14b7	0x139
0x14ba	0x168
0x14bd	0x1d3
0x14c0	0x238
0x14c3	0x267
0x14c6	0x292
0x14c9	0x309
0x14cc	0x374
0x14cf	0x38b
0x14d2	0x3ba
0x14d5	0x411
0x14d8	0x485
0x14db	0x57b
0x14de	0x5d6
0x14e1	0x62d
0x14e4	0x66e
