0xf1	0x00000000
0xf6	0x3659cfe6
0x139	0x3f4ba83a
0x168	0x42d46a9a
0x1d3	0x59a3e577
0x238	0x5c975abb
0x267	0x5f495491
0x292	0x6f94e502
0x309	0x7db45975
0x374	0x8129fc1c
0x38b	0x8456cb59
0x3ba	0x8da5cb5b
0x411	0xa888c2cd
0x485	0xbc3f931f
0x57b	0xcbca47db
0x5d6	0xd4b83992
0x62d	0xe92e5c34
0x66e	0xf2fde38b
