0x0	__function_selector__
0xf1	()
0xf1	fallback()
0xf6	upgradeTo(address)
0x139	unpause()
0x168	castVote(uint256,uint256,bytes32,string,bytes32)
0x1d3	createClaim(address[],uint256,address)
0x238	paused()
0x267	claimsCreated()
0x292	getVoter(uint256,uint256)
0x309	register(uint256,uint256,bytes32,string,bytes32)
0x374	initialize()
0x38b	pause()
0x3ba	owner()
0x411	claims(uint256)
0x485	getVote(uint256,address)
0x57b	initialized(address)
0x5d6	target()
0x62d	getVoterCount(uint256)
0x66e	transferOwnership(address)
0x6b1	0x6b1
0xc18	0xc18
0xeb0	0xeb0
0x1190	0x1190
0x1265	0x1265
0x12e5	0x12e5
0x1385	0x1385
0x13aa	0x13aa
