0xdd3
0x111c
0x1af5
0x1af9
0x222a
0x3badS0xac4
0x3bb4S0xac4
0x3bbbS0xac4
0x3bcbS0xac4
0x3c5cS0x1aa7
0x3c63S0x1aa7
0x3badS0x1c42
0x3bb4S0x1c42
0x3bbbS0x1c42
0x3bcbS0x1c42
0x3c5cS0x21f1
0x3c63S0x21f1
