0x218	risk()
0x3f4	syntheticAsset()
0x497	collateralAsset()
0x518	totalSupply()
0x5ee	balanceOf(address)
0xc22	getPosition(uint256)
0xe2f	getCurrentPrice()
0xfc6	updateTotalSupplied(uint256)
0x1293	syntheticAsset()
0x1336	collateralAsset()
0x13d1	mint(address,uint256)
0x147a	getPosition(uint256)
0x1524	getCurrentPrice()
0x1a3a	syntheticAsset()
0x1add	collateralAsset()
0x1b6c	burn(address,uint256)
0x1bdd	transferCollateral(address,address,uint256)
0x1cf2	getPosition(uint256)
0x1f10	calculateLiquidationPrice(uint8)
0x2098	totalLiquidationSpread()
0x247d	getAddress(uint8)
0x2509	balanceOf(address)
0x25f7	getAddress(uint8)
0x269a	collateralAsset()
0x274b	calculateLiquidationSplit()
0x27dc	burn(address,uint256)
0x286c	transferCollateral(address,address,uint256)
0x2965	transferCollateral(address,address,uint256)
0x2f1aS0x2a2fS0x926	transfer(address,uint256)
0x2f1aS0x2da3S0x136b	transferFrom(address,address,uint256)
