0x18a0	messageCallStatus(bytes32)
0x197c	failedMessageReceiver(bytes32)
0x1a75	failedMessageSender(bytes32)
0x1c96	requireToPassMessage(address,bytes,uint256)
0x29a2	burn(uint256)
0x2a42	messageSender()
0x2ddf	mint(address,uint256)
0x387a	requireToPassMessage(address,bytes,uint256)
0x41c4	messageId()
0x456e	maxGasPerTx()
0x1f23S0x8d4	upgradeabilityOwner()
0x2349S0x973	upgradeabilityOwner()
0xda8S0x1f4	transferFrom(address,address,uint256)
0x31edS0x68a	mint(address,uint256)
0x14d1S0x51d	upgradeabilityOwner()
0x40cfS0x2f96S0x1542S0x51d	balanceOf(address)
0x470dS0x40f6S0x2f96S0x1542S0x51d	transfer(address,uint256)
