0x69a	withdrawOther(address)
0x7a5	balanceOf(address)
0x817	want()
0x8ae	getExpectedReturn(address,address,uint256,uint256,uint256)
0x9de	balanceOf()
0xb6a	withdrawAll()
0xcf6	want()
0xdcb	convert(address)
0xe62	deposit()
0x1049	withdraw(uint256)
0x11f6	withdrawAll()
0x1585S0x14a1S0x13f0S0x1398	transfer(address,uint256)
