0x1df	0x197baa6d
0x20f	0x1fe4a686
0x233	0x39ebf823
0x259	0x590bbb60
0x287	0x5aa6e675
0x28f	0x674e694f
0x2ac	0x6ac5db19
0x2c6	0x6dcd64e5
0x2fc	0x70a08231
0x322	0x714ccf7b
0x350	0x72cb5d97
0x37e	0x748747e6
0x3a4	0x8da1df4d
0x3ca	0x9ec5a894
0x3d2	0xa1578b6a
0x414	0xa622ee7c
0x43a	0xab033ea9
0x460	0xaced1661
0x468	0xb02bf4b9
0x494	0xc494448e
0x4c2	0xc6d758cb
0x4ee	0xc7b9d530
0x514	0xccd06318
0x54c	0xe4f2494d
0x57a	0xec38a862
0x5a0	0xf3fef3a3
0x5cc	0xf712adbb
0x5d4	0xf7654176
0x5dc	0xf8c8765e
0x61a	0xfa09e630
0x1716	0x00000000
