0x74	0x7c
0x7d	0x90
0xb9	0xcc
0xc8	0xb4
0xdc	0xf9
0x10a	0x112
0x113	0x11a
0x116	0x26a
0x12f	0x137
0x138	0x479
0x146	0x270
0x14f	0x157
0x158	0x49a
0x167	0x2ef
0x16e	0x176
0x177	0x17e
0x17a	0x372
0x19b	0x1a2
0x19e	0x381
0x214	0x4bb
0x21c	0x233
0x22f	0x4e6
0x251	0x241
0x289	0x293
0x302	0x30a
0x538	0x544
0x53a	0x547
0x53c	0x54a
0x53e	0x54d
0x540	0x550
0x542	0x553
0x3c0V0x270	0x3d4B0x270
0x3dfV0x270	0x401B0x270
0x403V0x270	0x511B0x270
0x3ebV0x270	0x401B0x270
0x3d0V0x270	0x401B0x270
0x3fdV0x270	0x3e6B0x270
0x427V0x401V0x270	0x417B0x401B0x270
0x412V0x401V0x270	0x42bB0x401B0x270
0x41cV0x401V0x270	0x534B0x401B0x270
