0x12	0x1b
0x6b	0x78
0x7c	0x8e
0x94	0xa3
0xa1	0x105
0x100	0x1ec
0x136V0x1b	0x186B0x1b
0x10dV0x1b	0x117B0x1b
0x12dV0x1b	0x13bB0x1b
0x140V0x1b	0x156B0x1b
0x188V0x1b	0x2aa6B0x1b
0x161V0x1b	0x186B0x1b
0x16eV0x1b	0x186B0x1b
0x151V0x1b	0x186B0x1b
0x181V0x1b	0x169B0x1b
0x1b9V0x109V0x1b	0x1c4B0x109B0x1b
0x1ccV0x109V0x1b	0x1e6B0x109B0x1b
0x1aaV0x186V0x1b	0x199B0x186B0x1b
0x19eV0x186V0x1b	0x2ac9B0x186B0x1b
0x136V0x78	0x186B0x78
0x10dV0x78	0x117B0x78
0x12dV0x78	0x13bB0x78
0x140V0x78	0x156B0x78
0x188V0x78	0x2aa6B0x78
0x161V0x78	0x186B0x78
0x16eV0x78	0x186B0x78
0x151V0x78	0x186B0x78
0x181V0x78	0x169B0x78
0x1b9V0x109V0x78	0x1c4B0x109B0x78
0x1ccV0x109V0x78	0x1e6B0x109B0x78
0x1aaV0x186V0x78	0x199B0x186B0x78
0x19eV0x186V0x78	0x2ac9B0x186B0x78
