0x0	0xd
0xd	0x27
0x5bf	0x6150x5bf
0x67d	0x6e3
0xa0	0xab
0xee9	0xf460xee9
0xfa6	0xffc
0x121d	0x126f
0x12c0	0x131d
0x1333	0x1398
0x13ae	0x140b
0x1627	0x1684
0x1712	0x1770
0x1786	0x17e4
0x1d58	0x1d94
0x1d98	0x1df5
0x1f39	0x1f96
0x6e3	0x6ec
0xffc	0x1005
0x1066	0x1076
0x107a	0x10ce
0x10ce	0x10d7
0x126f	0x1278
0x53	0x5e
0x160b	0x1614
0x161c	0x1620
0x1978	0x1988
0x199f	0x19af
0x19b3	0x19bc
0x19c0	0x1a14
0x1a14	0x1a1d
0x1aae	0x1abe
0x1ac2	0x1b16
0x1b16	0x1b1f
0x1bb0	0x1bc0
0x1bc4	0x1bcd
0x1bd1	0x1c25
0x1c25	0x1c2e
0x1e2d	0x1e36
0x1e42	0x1e49
0x1e3e	0x1e42
0x25a8	0x2627
0x2710	0x27140x26fe
0x290a	0x2924
0x28e9	0x28f3
0x26fe	0x270c
0x197	0x19f
0x1c8	0x1d0
0x1f4	0x1fc
0x23a	0x242
0x27b	0x283
0x2a5	0x2ad
0x2ba	0x2c2
0x2d2	0x2da
0x2e7	0x2ef
0x2fc	0x304
0x346	0x34e
0x35b	0x363
0x373	0x37b
0x388	0x390
0x3af	0x3b7
0x3c7	0x3cf
0x3dc	0x3e4
0x3f1	0x3f9
0x406	0x40e
0x41b	0x423
0x430	0x438
0x471	0x479
0x489	0x491
0x4ba	0x4c2
0x4d2	0x4da
0x4ea	0x4f2
0x502	0x50a
0x51a	0x522
0x52f	0x537
0x544	0x54c
0x55c	0x564
0x574	0x57c
0x595	0x59d
0x5aa	0x5b2
0x28e5	0x28e9
0x27	0x32
0x32	0x3d
0x3d	0x48
0x48	0x53
0x5e	0x69
0x69	0x74
0x74	0x7f
0x7f	0x8a
0x8a	0x95
0x95	0xa0
0xab	0xb6
0xb6	0xc1
0xc1	0xcc
