0x11b	0xb66f3f5
0x1aa	0x158ef93e
0x1d3	0x2f781393
0x1eb	0x4e71e0c8
0x200	0x54fd4d50
0x28a	0x591552da
0x2bd	0x5c60da1b
0x2ee	0x69fe0e2d
0x306	0x6fde8202
0x31b	0x83197ef0
0x330	0x8da5cb5b
0x345	0xab883d28
0x3c6	0xb4ae641c
0x3db	0xc1258f69
0x3fc	0xc4d66de8
0x41d	0xddca3f43
0x432	0xdf8de3e7
0x453	0xe30c3978
0x468	0xe3ffc9a3
0x47d	0xe4e1f29b
0x492	0xee8a0a30
0x4aa	0xeff8e748
0x4cb	0xf2fde38b
0x1492	0x00000000
