0x151	0x2ae74a
0x175	0xe9ed68b
0x17d	0x201ae9db
0x1a5	0x2a2085f3
0x1bf	0x44616718
0x1c7	0x485cc955
0x1f5	0x51dd2125
0x212	0x60558c0f
0x21a	0x6ffc215c
0x246	0x73252494
0x24e	0x8129fc1c
0x256	0xab0254c2
0x27c	0xad5186f6
0x284	0xb8a0ca0e
0x28c	0xcfc16254
0x2b2	0xd017f483
0x2ec	0xd1158d94
0x2f4	0xd16543f6
0x2fc	0xd949d2d0
0x319	0xe26cd9ca
0x321	0xe863cbb6
0x33e	0xea63d651
0x364	0xf4e0d9ac
0x1fa6	0x00000000
