0x1df	0x6fdde03
0x25c	0x95ea7b3
0x29c	0xafbcdc9
0x2db	0xbd7ad3b
0x2f5	0x156e29f6
0x327	0x18160ddd
0x32f	0x1da24f3e
0x355	0x23b872dd
0x38b	0x30adf81f
0x393	0x3118724e
0x461	0x313ce567
0x47f	0x3644e515
0x487	0x39509351
0x4b3	0x4efecaa5
0x4df	0x70a08231
0x505	0x7535d246
0x529	0x78160376
0x531	0x7df5bd3b
0x554	0x95d89b41
0x55c	0xa457c2d7
0x588	0xa9059cbb
0x5b4	0xae167335
0x5bc	0xb16a19de
0x5c4	0xb1bf962d
0x5cc	0xb9844d8d
0x5f2	0xd0fc81d2
0x5fa	0xd505accf
0x64b	0xd7020d0a
0x687	0xdd62ed3e
0x6b5	0xf866c319
0x281c	0x00000000
