0x139	0x41c
0x312	0x6d9
0xc43	0x70
0xc4f	0x15e
0xc52	0x191
0xc55	0x250
0xc58	0x306
0xc46	0x7a
0xc49	0xad
0xc4c	0x12d
0x6160x250	0x836
0x31b0x70	0x704
0x31b0x7a	0x704
0x31b0xad	0x704
0x31b0x15e	0x704
0x31b0x41c	0x704
0x31b0x6d9	0x704
0x7d2B0x357	0x836
0x7d2B0x391	0x836
0x6160x599B0x530	0x836
